#http://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/blood.html
#Blood, Whole (ICRU-44)
#________________________________________
#
#         Energy         μ/ρ       μen/ρ 
#          (MeV)       (cm2/g)    (cm2/g)
#________________________________________

       1.00000E-03  3.806E+03  3.795E+03 
       1.03542E-03  3.473E+03  3.462E+03 
       1.07210E-03  3.167E+03  3.158E+03 
 11 K  1.07210E-03  3.173E+03  3.164E+03 
       1.50000E-03  1.282E+03  1.278E+03 
       2.00000E-03  5.737E+02  5.718E+02 
       2.14550E-03  4.700E+02  4.682E+02 
 15 K  2.14550E-03  4.722E+02  4.703E+02 
       2.30297E-03  3.858E+02  3.841E+02 
       2.47200E-03  3.149E+02  3.134E+02 
 16 K  2.47200E-03  3.186E+02  3.168E+02 
       2.64140E-03  2.633E+02  2.618E+02 
       2.82240E-03  2.175E+02  2.161E+02 
 17 K  2.82240E-03  2.219E+02  2.201E+02 
       3.00000E-03  1.862E+02  1.846E+02 
       3.60740E-03  1.088E+02  1.076E+02 
 19 K  3.60740E-03  1.109E+02  1.094E+02 
       4.00000E-03  8.187E+01  8.066E+01 
       5.00000E-03  4.232E+01  4.147E+01 
       6.00000E-03  2.458E+01  2.393E+01 
       7.11200E-03  1.479E+01  1.425E+01 
 26 K  7.11200E-03  1.514E+01  1.450E+01 
       8.00000E-03  1.068E+01  1.013E+01 
       1.00000E-02  5.519E+00  5.096E+00 
       1.50000E-02  1.744E+00  1.440E+00 
       2.00000E-02  8.428E-01  5.831E-01 
       3.00000E-02  3.852E-01  1.669E-01 
       4.00000E-02  2.715E-01  7.443E-02 
       5.00000E-02  2.278E-01  4.477E-02 
       6.00000E-02  2.057E-01  3.332E-02 
       8.00000E-02  1.827E-01  2.645E-02 
       1.00000E-01  1.695E-01  2.559E-02 
       1.50000E-01  1.492E-01  2.749E-02 
       2.00000E-01  1.358E-01  2.944E-02 
       3.00000E-01  1.176E-01  3.164E-02 
       4.00000E-01  1.052E-01  3.249E-02 
       5.00000E-01  9.598E-02  3.269E-02 
       6.00000E-01  8.874E-02  3.254E-02 
       8.00000E-01  7.793E-02  3.177E-02 
       1.00000E+00  7.007E-02  3.074E-02 
       1.25000E+00  6.265E-02  2.938E-02 
       1.50000E+00  5.701E-02  2.807E-02 
       2.00000E+00  4.896E-02  2.584E-02 
       3.00000E+00  3.932E-02  2.260E-02 
       4.00000E+00  3.371E-02  2.046E-02 
       5.00000E+00  3.002E-02  1.897E-02 
       6.00000E+00  2.743E-02  1.788E-02 
       8.00000E+00  2.405E-02  1.642E-02 
       1.00000E+01  2.196E-02  1.550E-02 
       1.50000E+01  1.920E-02  1.425E-02 
       2.00000E+01  1.793E-02  1.366E-02 
