#http://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/cesium.html
#Cesium Iodide
#________________________________________
#
#         Energy         μ/ρ       μen/ρ 
#          (MeV)       (cm2/g)     (cm2/g)
#________________________________________

       1.00000E-03  9.234E+03  9.213E+03 
       1.03199E-03  8.653E+03  8.633E+03 
       1.06500E-03  8.098E+03  8.080E+03 
 55 M2 1.06500E-03  8.339E+03  8.320E+03 
       1.06854E-03  8.281E+03  8.262E+03 
       1.07210E-03  8.224E+03  8.205E+03 
 53 M1 1.07210E-03  8.387E+03  8.368E+03 
       1.14230E-03  7.344E+03  7.327E+03 
       1.21710E-03  6.413E+03  6.398E+03 
 55 M1 1.21710E-03  6.569E+03  6.553E+03 
       1.50000E-03  4.132E+03  4.120E+03 
       2.00000E-03  2.114E+03  2.104E+03 
       3.00000E-03  7.880E+02  7.809E+02 
       4.00000E-03  3.836E+02  3.776E+02 
       4.55710E-03  2.752E+02  2.696E+02 
 53 L3 4.55710E-03  5.174E+02  4.936E+02 
       4.70229E-03  4.851E+02  4.628E+02 
       4.85210E-03  4.510E+02  4.303E+02 
 53 L2 4.85210E-03  5.637E+02  5.332E+02 
       5.00000E-03  5.296E+02  5.012E+02 
       5.01190E-03  5.268E+02  4.985E+02 
 55 L3 5.01190E-03  7.511E+02  7.037E+02 
       5.09924E-03  7.193E+02  6.744E+02 
       5.18810E-03  6.881E+02  6.457E+02 
 53 L1 5.18810E-03  7.453E+02  6.987E+02 
       5.27305E-03  7.196E+02  6.716E+02 
       5.35940E-03  6.875E+02  6.454E+02 
 55 L2 5.35940E-03  7.923E+02  7.397E+02 
       5.53401E-03  7.323E+02  6.847E+02 
       5.71430E-03  6.761E+02  6.331E+02 
 55 L1 5.71430E-03  7.268E+02  6.795E+02 
       6.00000E-03  6.448E+02  6.043E+02 
       8.00000E-03  3.071E+02  2.906E+02 
       1.00000E-02  1.711E+02  1.624E+02 
       1.50000E-02  5.815E+01  5.486E+01 
       2.00000E-02  2.686E+01  2.496E+01 
       3.00000E-02  9.045E+00  8.071E+00 
       3.31694E-02  6.923E+00  6.088E+00 
 53 K  3.31694E-02  2.122E+01  9.086E+00 
       3.45483E-02  2.687E+01  8.529E+00 
       3.59846E-02  1.719E+01  7.990E+00 
 55 K  3.59846E-02  3.027E+01  1.059E+01 
       4.00000E-02  2.297E+01  9.395E+00 
       5.00000E-02  1.287E+01  6.596E+00 
       6.00000E-02  7.921E+00  4.586E+00 
       8.00000E-02  3.677E+00  2.399E+00 
       1.00000E-01  2.035E+00  1.391E+00 
       1.50000E-01  7.290E-01  4.951E-01 
       2.00000E-01  3.805E-01  2.401E-01 
       3.00000E-01  1.818E-01  9.634E-02 
       4.00000E-01  1.237E-01  5.828E-02 
       5.00000E-01  9.809E-02  4.366E-02 
       6.00000E-01  8.373E-02  3.657E-02 
       8.00000E-01  6.769E-02  2.987E-02 
       1.00000E+00  5.848E-02  2.657E-02 
       1.25000E+00  5.110E-02  2.402E-02 
       1.50000E+00  4.644E-02  2.243E-02 
       2.00000E+00  4.123E-02  2.089E-02 
       3.00000E+00  3.721E-02  2.059E-02 
       4.00000E+00  3.616E-02  2.144E-02 
       5.00000E+00  3.622E-02  2.255E-02 
       6.00000E+00  3.673E-02  2.364E-02 
       8.00000E+00  3.838E-02  2.563E-02 
       1.00000E+01  4.030E-02  2.725E-02 
       1.50000E+01  4.492E-02  2.992E-02 
       2.00000E+01  4.867E-02  3.114E-02 
